"sguid","TableCat","orig","region","hincomex2","agex2","statex","state2","rake_wt"
"1567637253_5d703f0530edd6.09815873",1,1,5,1,1,"SE","FL",1.85455469135124
"1567637718_5d7040d64fbc91.22845477",1,1,6,1,2,"WE","OR",0.428762258926534
"1567638119_5d704267cdd539.97452574",1,1,6,1,3,"WE","AZ",0.165163840042542
"1567638290_5d704312b34776.41318594",1,1,4,3,2,"SC","MO",2.53481282631979
"1567638712_5d7044b8599fb9.70158294",1,1,4,1,3,"SC","TX",0.32165157971102
"1567639649_5d704861e9c377.68244515",1,1,4,2,3,"SC","MO",1.06341078833222
"1567639880_5d704948168d04.88416179",1,1,5,2,2,"SE","MS",2.10429293506982
"1567640035_5d7049e30f1275.17100561",1,1,3,1,1,"NP","MT",1.37970457715248
"1567640733_5d704c9d7f62e5.58224792",1,1,3,1,3,"NP","NE",0.182404565731789
"1567641000_5d704da85a7ab5.28198221",1,1,5,1,1,"SE","KY",1.85455469135124
"1567641275_5d704ebbc324a8.93605449",1,1,1,1,3,"GL","OH",0.197011927766503
"1567641844_5d7050f4c0a3a6.38023224",1,1,1,3,2,"GL","IN",1.5525754976524
"1567641942_5d7051568df532.90141337",1,1,4,1,1,"SC","LA",2.43296627469386
"1567642046_5d7051be9a7be9.93699863",1,1,4,2,1,"SC","TX",8.04361845970833
